127.0.0.1 - - [15/Jul/2026 23:43:37] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:03] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:03] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:05] "GET /tarifs.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:06] "GET /contact.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:47] "GET /bienvenue_directeur.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:47] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:47] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:47] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:49] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:16:49] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:17:54] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:17:54] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:17:54] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:17:54] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:17:54] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:17:57] "GET /apropos.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:00] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:00] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:00] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:00] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:00] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:06] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:06] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:06] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:06] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:06] "GET /welcome.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:08] "GET /tarifs.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:09] "GET /contact.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:15] "GET /bienvenue_directeur.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:15] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:15] "GET /header.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:15] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:17] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 23:18:17] "GET /welcome.js HTTP/1.1" 200 -
